id;player_name;player_id;fixture_id;league_round;rating;event_datetime;team_name;position;home_or_away;opponent_team;result;result_status;games_minutes;games_substitute;offsides;shots_total;shots_on;goals_total;goals_conceded;goals_assists;goals_saves;passes_total;passes_key;passes_accuracy;tackles_total;tackles_blocks;tackles_interceptions;duels_total;duels_won;dribbles_attempts;dribbles_success;dribbles_past;fouls_drawn;fouls_committed;cards_yellow;cards_red;penalty_won;penalty_committed;penalty_scored;penalty_missed;penalty_saved;rating_target
1;A. Barák;8779;390;1;0;17/08/2024 18:30;Fiorentina;Midfielder;away;Parma;1 - 1;D;0;VERO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;A. Barák;8779;392;2;7.3;25/08/2024 18:30;Fiorentina;Midfielder;home;Venezia;0 - 0;D;55;FALSO;0;2;2;0;0;0;0;19;3;17;2;1;0;6;2;1;0;2;0;0;0;0;0;0;0;0;0;5.5
3;A. Bastoni;8619;384;1;6.9;17/08/2024 18:30;Inter;Defender;away;Genoa;2 - 2;D;90;FALSO;0;0;0;0;0;0;0;72;2;65;2;0;0;8;5;0;0;0;1;1;0;0;0;0;0;0;0;6.5
4;A. Bastoni;8619;394;2;7.2;24/08/2024 20:45;Inter;Defender;home;Lecce;2 - 0;W;90;FALSO;0;0;0;0;0;0;0;87;0;80;1;0;1;4;1;0;0;0;0;1;0;0;0;0;0;0;0;6.5
5;A. Bastoni;8619;404;3;7.5;30/08/2024 20:45;Inter;Defender;home;Atalanta;4 - 0;W;61;FALSO;0;0;0;0;0;0;0;47;0;44;2;0;1;6;5;0;0;0;1;1;0;0;0;0;0;0;0;6.5
6;A. Bastoni;8619;418;4;0;15/09/2024 20:45;Inter;Defender;away;Monza;1 - 1;D;0;VERO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;A. Bastoni;8619;425;5;7;22/09/2024 20:45;Inter;Defender;home;AC Milan;1 - 2;L;82;FALSO;0;0;0;0;0;0;0;60;1;54;1;0;2;8;5;0;0;1;2;1;0;0;0;0;0;0;0;6
8;A. Belotti;8776;386;1;6.7;19/08/2024 20:45;Como;Attacker;away;Juventus;3 - 0;L;56;FALSO;0;0;0;0;0;0;0;4;0;2;1;0;0;6;4;0;0;0;3;0;0;0;0;0;0;0;0;5.5
9;A. Belotti;8776;391;2;6.9;26/08/2024 18:30;Como;Attacker;away;Cagliari;1 - 1;D;58;FALSO;1;0;0;0;0;0;0;14;0;12;2;0;0;6;4;1;1;0;1;0;0;0;0;0;0;0;0;5.5
10;A. Belotti;8776;409;3;6.6;01/09/2024 20:45;Como;Attacker;away;Udinese;1 - 0;L;63;FALSO;0;2;0;0;0;0;0;10;1;9;0;0;0;12;5;0;0;1;0;1;0;0;0;0;0;0;0;6
