,rating,games_minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,rating_target,position_Defender,position_Goalkeeper,position_Midfielder,result_status_encoded,games_substitute_encoded
1,0.6666666666666652,-0.3793103448275862,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.14285714285714285,3.0,-0.04,0.5,1.0,0.0,0.0,-0.25,1.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,1,0
2,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.0,1.88,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,1,0
3,0.4999999999999993,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,2.48,0.0,0.0,1.0,-0.3333333333333333,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,2,0
4,0.9999999999999986,-0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,1.04,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,2,0
6,0.16666666666666594,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3214285714285714,1.0,1.44,0.0,0.0,2.0,0.3333333333333333,0.5,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
7,-0.3333333333333333,-0.3620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6785714285714286,0.0,-0.64,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0
8,0.0,-0.3275862068965517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32142857142857145,0.0,-0.24,0.5,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,1,0
9,-0.5000000000000008,-0.2413793103448276,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.4642857142857143,1.0,-0.36,-0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10,-1.0,-1.1206896551724137,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5357142857142857,0.0,-0.52,-0.5,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,1,1
18,-1.1666666666666659,-1.0172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6428571428571429,0.0,-0.52,-0.5,0.0,0.0,-0.8333333333333334,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
19,0.16666666666666594,0.22413793103448276,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.56,1.5,0.0,0.0,1.3333333333333333,1.25,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0,0
20,0.4999999999999993,-0.20689655172413793,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.35714285714285715,4.0,-0.36,-0.5,0.0,0.0,0.0,-0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0
21,0.9999999999999986,0.22413793103448276,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,2.0,0.16,1.0,0.0,0.0,1.3333333333333333,1.25,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,2,0
22,1.1666666666666645,-0.3448275862068966,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.5357142857142857,1.0,-0.44,-0.5,0.0,0.0,0.3333333333333333,-0.25,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
23,0.6666666666666652,0.22413793103448276,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.17857142857142858,0.0,-0.24,0.5,0.0,0.0,0.6666666666666666,0.75,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
